,cve,epss,date
116,CVE-2025-8268,0.0011,2025-10-16
117,CVE-2025-9054,0.00097,2025-10-16
118,CVE-2025-9321,0.00074,2025-10-16
119,CVE-2025-9816,0.00098,2025-10-16
120,CVE-2025-10137,0.00054,2025-10-17
121,CVE-2025-10147,0.00169,2025-10-17
122,CVE-2025-10412,0.00197,2025-10-17
123,CVE-2025-59834,0.00865,2025-10-17
124,CVE-2025-6921,0.00049,2025-10-17
125,CVE-2025-7045,0.00363,2025-10-17
126,CVE-2025-8268,0.0011,2025-10-17
127,CVE-2025-9054,0.00097,2025-10-17
128,CVE-2025-9321,0.00074,2025-10-17
129,CVE-2025-9816,0.00098,2025-10-17
130,CVE-2025-10137,0.00054,2025-10-18
131,CVE-2025-10147,0.00169,2025-10-18
132,CVE-2025-10412,0.00197,2025-10-18
133,CVE-2025-59834,0.00865,2025-10-18
134,CVE-2025-6921,0.00049,2025-10-18
135,CVE-2025-7045,0.00363,2025-10-18
136,CVE-2025-8268,0.0011,2025-10-18
137,CVE-2025-9054,0.00097,2025-10-18
138,CVE-2025-9321,0.00074,2025-10-18
139,CVE-2025-9816,0.00098,2025-10-18
140,CVE-2025-10137,0.00054,2025-10-19
141,CVE-2025-10147,0.00169,2025-10-19
142,CVE-2025-10412,0.00197,2025-10-19
143,CVE-2025-59834,0.00865,2025-10-19
144,CVE-2025-6921,0.00049,2025-10-19
145,CVE-2025-7045,0.00363,2025-10-19
146,CVE-2025-8268,0.0011,2025-10-19
147,CVE-2025-9054,0.00097,2025-10-19
148,CVE-2025-9321,0.00074,2025-10-19
149,CVE-2025-9816,0.00098,2025-10-19
150,CVE-2025-10137,0.00054,2025-10-20
151,CVE-2025-10147,0.00169,2025-10-20
152,CVE-2025-10412,0.00197,2025-10-20
153,CVE-2025-59834,0.00865,2025-10-20
154,CVE-2025-6921,0.00049,2025-10-20
155,CVE-2025-7045,0.00363,2025-10-20
156,CVE-2025-8268,0.0011,2025-10-20
157,CVE-2025-9054,0.00097,2025-10-20
158,CVE-2025-9321,0.00074,2025-10-20
159,CVE-2025-9816,0.00098,2025-10-20
160,CVE-2025-10137,0.00054,2025-10-21
